,Date,Close,High,Low,Open,Volume,EMA_9,EMA_21,Signal,Position,CumulativeProfit
171,2024-09-06,18458.25,18972.25,18339.75,18921.0,726350.0,19101.040899744617,19244.23037908452,0.0,0.0,1018.25
172,2024-09-09,18692.25,18734.5,18386.0,18400.0,726350.0,19019.28271979569,19194.050344622294,0.0,0.0,1018.25
173,2024-09-10,18864.0,18878.5,18582.25,18727.0,536220.0,18988.22617583656,19164.04576783845,0.0,0.0,1018.25
174,2024-09-11,19271.0,19293.5,18547.0,18837.75,729344.0,19044.780940669247,19173.76887985313,0.0,0.0,1018.25
175,2024-09-12,19447.25,19483.5,19185.0,19241.5,581032.0,19125.2747525354,19198.630799866485,0.0,0.0,1018.25
176,2024-09-13,19530.25,19577.25,19398.25,19419.5,467948.0,19206.26980202832,19228.77799987862,0.0,0.0,1018.25
177,2024-09-16,19433.0,19546.5,19299.25,19498.0,339781.0,19251.615841622657,19247.34363625329,1.0,1.0,1018.25
178,2024-09-17,19439.25,19615.5,19341.0,19426.5,254059.0,19289.142673298127,19264.789669321173,1.0,0.0,1018.25
179,2024-09-18,19349.25,19660.0,19331.0,19451.0,138848.0,19301.1641386385,19272.467881201068,1.0,0.0,1018.25
180,2024-09-19,19850.25,19966.25,19408.75,19420.5,134917.0,19410.981310910804,19324.993528364605,1.0,0.0,1018.25
181,2024-09-20,19808.009765625,19838.25,19746.5,19831.25,479646.0,19490.387001853644,19368.90409538828,1.0,0.0,1018.25
182,2024-09-23,20080.0,20164.0,19955.25,20040.0,394947.0,19608.30960148292,19433.549177625704,1.0,0.0,1018.25
183,2024-09-24,20167.75,20214.75,19953.0,20063.25,457126.0,19720.19768118633,19500.29470693246,1.0,0.0,1018.25
184,2024-09-25,20192.0,20271.0,20064.25,20183.75,405050.0,19814.558144949067,19563.17700630224,1.0,0.0,1018.25
185,2024-09-26,20346.25,20538.0,20188.0,20242.0,509755.0,19920.89651595925,19634.36546027476,1.0,0.0,1018.25
186,2024-09-27,20221.5,20395.75,20173.0,20345.0,435634.0,19981.017212767405,19687.741327522504,1.0,0.0,1018.25
187,2024-09-30,20261.25,20287.0,20056.0,20198.5,510434.0,20037.063770213925,19739.87847956592,1.0,0.0,1018.25
188,2024-10-01,19975.0,20331.75,19818.0,20234.25,662776.0,20024.65101617114,19761.25316324174,1.0,0.0,1018.25
189,2024-10-02,20009.75,20090.25,19833.5,19975.25,475599.0,20021.670812936914,19783.843784765217,1.0,0.0,1018.25
190,2024-10-03,19990.25,20113.75,19852.0,20055.5,526765.0,20015.386650349534,19802.6079861502,1.0,0.0,1018.25
191,2024-10-04,20227.25,20263.75,19941.5,19965.5,560070.0,20057.759320279627,19841.211805591087,1.0,0.0,1018.25
192,2024-10-07,19992.75,20267.25,19948.0,20220.0,450371.0,20044.757456223702,19854.988005082807,1.0,0.0,1018.25
193,2024-10-08,20298.5,20329.5,19902.5,20025.75,444750.0,20095.50596497896,19895.307277348005,1.0,0.0,1018.25
194,2024-10-09,20463.5,20482.75,20196.0,20294.25,421249.0,20169.10477198317,19946.961161225456,1.0,0.0,1018.25
195,2024-10-10,20429.75,20508.25,20301.5,20445.25,450569.0,20221.233817586537,19990.851055659503,1.0,0.0,1018.25
196,2024-10-11,20450.0,20494.25,20314.75,20435.0,385312.0,20266.987054069228,20032.591868781365,1.0,0.0,1018.25
197,2024-10-14,20619.25,20680.0,20383.25,20432.5,395756.0,20337.439643255384,20085.924426164875,1.0,0.0,1018.25
198,2024-10-15,20342.0,20659.25,20254.0,20638.75,522391.0,20338.35171460431,20109.20402378625,1.0,0.0,1018.25
199,2024-10-16,20349.5,20398.5,20206.25,20334.5,417571.0,20340.58137168345,20131.04911253296,1.0,0.0,1018.25
200,2024-10-17,20368.0,20594.75,20276.75,20328.0,535486.0,20346.06509734676,20152.590102302685,1.0,0.0,1018.25
201,2024-10-18,20483.5,20529.75,20320.75,20384.0,385566.0,20373.552077877408,20182.67282027517,1.0,0.0,1018.25
202,2024-10-21,20519.5,20554.5,20343.75,20496.25,456078.0,20402.741662301927,20213.293472977428,1.0,0.0,1018.25
203,2024-10-22,20542.0,20602.25,20360.25,20536.5,476324.0,20430.593329841544,20243.17588452493,1.0,0.0,1018.25
204,2024-10-23,20220.5,20542.5,20079.0,20521.0,619162.0,20388.57466387324,20241.11444047721,1.0,0.0,1018.25
205,2024-10-24,20380.25,20428.5,20261.75,20294.25,462552.0,20386.9097310986,20253.763127706552,1.0,0.0,1018.25
206,2024-10-25,20498.75,20707.25,20364.0,20388.5,585929.0,20409.27778487888,20276.03466155141,1.0,0.0,1018.25
207,2024-10-28,20497.0,20676.5,20486.0,20525.5,430120.0,20426.822227903103,20296.12241959219,1.0,0.0,1018.25
208,2024-10-29,20696.5,20760.25,20432.25,20513.0,498020.0,20480.75778232248,20332.520381447444,1.0,0.0,1018.25
209,2024-10-30,20534.75,20788.5,20472.5,20734.0,519409.0,20491.55622585799,20350.90489222495,1.0,0.0,1018.25
210,2024-10-31,20021.75,20495.75,20008.5,20482.0,686677.0,20397.5949806864,20320.9817202045,1.0,0.0,1018.25
211,2024-11-01,20153.25,20288.0,20017.0,20071.0,554025.0,20348.72598454912,20305.73338200409,1.0,0.0,1018.25
212,2024-11-04,20086.0,20248.5,20013.0,20138.0,520521.0,20296.180787639296,20285.75762000372,1.0,0.0,1018.25
213,2024-11-05,20341.75,20385.5,20041.75,20130.75,450115.0,20305.294630111435,20290.84783636701,1.0,0.0,1018.25
214,2024-11-06,20894.0,20935.25,20323.5,20360.5,632408.0,20423.03570408915,20345.679851242738,1.0,0.0,1018.25
215,2024-11-07,21224.75,21253.0,20861.5,20923.5,462805.0,20583.37856327132,20425.59531931158,1.0,0.0,1018.25
216,2024-11-08,21231.25,21265.0,21121.75,21224.25,401943.0,20712.952850617057,20498.83665391961,1.0,0.0,1018.25
217,2024-11-11,21217.75,21340.75,21098.25,21249.75,456006.0,20813.912280493645,20564.1924126542,1.0,0.0,1018.25
218,2024-11-12,21189.5,21251.75,21054.75,21221.0,511372.0,20889.02982439492,20621.03855695836,1.0,0.0,1018.25
219,2024-11-13,21159.5,21268.5,21056.5,21178.0,533739.0,20943.123859515938,20669.98959723487,1.0,0.0,1018.25
